model_name,response_type,prompt_type,num_rows,proper_response,not_proper_response,proper_response_percent,not_proper_response_precent,new_response_counts,new_response_counts_normalized
databricks--dolly-v2-3b,2_options,0,885,377,508,42.59887005649718,57.40112994350282,"{'Bad Output': 508, 'Yes': 209, 'No': 168}","{'Bad Output': 57.4, 'Yes': 23.62, 'No': 18.98}"
databricks--dolly-v2-3b,2_options,1,885,474,411,53.559322033898304,46.440677966101696,"{'Bad Output': 411, 'Yes': 283, 'No': 191}","{'Bad Output': 46.44, 'Yes': 31.98, 'No': 21.58}"
databricks--dolly-v2-3b,2_options,2,885,125,760,14.124293785310735,85.87570621468926,"{'Bad Output': 760, 'No': 123, 'Yes': 2}","{'Bad Output': 85.88, 'No': 13.9, 'Yes': 0.23}"
databricks--dolly-v2-3b,2_options,3,885,460,425,51.9774011299435,48.0225988700565,"{'Bad Output': 425, 'Yes': 304, 'No': 156}","{'Bad Output': 48.02, 'Yes': 34.35, 'No': 17.63}"
databricks--dolly-v2-3b,2_options,4,885,467,418,52.76836158192091,47.23163841807909,"{'Bad Output': 418, 'Yes': 271, 'No': 196}","{'Bad Output': 47.23, 'Yes': 30.62, 'No': 22.15}"
databricks--dolly-v2-3b,3_options,0,885,602,283,68.0225988700565,31.9774011299435,"{'Neither': 587, 'Bad Output': 283, 'Yes': 14, 'No': 1}","{'Neither': 66.33, 'Bad Output': 31.98, 'Yes': 1.58, 'No': 0.11}"
databricks--dolly-v2-3b,3_options,1,885,472,413,53.333333333333336,46.666666666666664,"{'Neither': 462, 'Bad Output': 413, 'Yes': 9, 'No': 1}","{'Neither': 52.2, 'Bad Output': 46.67, 'Yes': 1.02, 'No': 0.11}"
databricks--dolly-v2-3b,3_options,2,885,199,686,22.48587570621469,77.51412429378531,"{'Bad Output': 686, 'Neither': 135, 'Yes': 62, 'No': 2}","{'Bad Output': 77.51, 'Neither': 15.25, 'Yes': 7.01, 'No': 0.23}"
databricks--dolly-v2-3b,3_options,3,885,243,642,27.45762711864407,72.54237288135593,"{'Bad Output': 642, 'Neither': 205, 'Yes': 35, 'No': 3}","{'Bad Output': 72.54, 'Neither': 23.16, 'Yes': 3.95, 'No': 0.34}"
databricks--dolly-v2-3b,3_options,4,885,176,709,19.887005649717516,80.11299435028249,"{'Bad Output': 709, 'Neither': 121, 'Yes': 49, 'No': 6}","{'Bad Output': 80.11, 'Neither': 13.67, 'Yes': 5.54, 'No': 0.68}"
databricks--dolly-v2-3b,4_options,0,885,843,42,95.2542372881356,4.745762711864407,"{'A': 840, 'Bad Output': 42, 'B': 2, 'D': 1}","{'A': 94.92, 'Bad Output': 4.75, 'B': 0.23, 'D': 0.11}"
databricks--dolly-v2-3b,4_options,1,885,767,118,86.66666666666667,13.333333333333334,"{'A': 752, 'Bad Output': 118, 'B': 13, 'D': 2}","{'A': 84.97, 'Bad Output': 13.33, 'B': 1.47, 'D': 0.23}"
databricks--dolly-v2-3b,4_options,2,885,869,16,98.19209039548022,1.807909604519774,"{'A': 867, 'Bad Output': 16, 'B': 2}","{'A': 97.97, 'Bad Output': 1.81, 'B': 0.23}"
databricks--dolly-v2-3b,4_options,3,885,814,71,91.9774011299435,8.022598870056497,"{'A': 814, 'Bad Output': 71}","{'A': 91.98, 'Bad Output': 8.02}"
databricks--dolly-v2-3b,4_options,4,885,798,87,90.16949152542372,9.830508474576272,"{'A': 797, 'Bad Output': 87, 'B': 1}","{'A': 90.06, 'Bad Output': 9.83, 'B': 0.11}"
databricks--dolly-v2-3b,4_options/randomized,0,885,672,213,75.9322033898305,24.06779661016949,"{'Bad Output': 213, 'A': 205, 'B': 174, 'D': 155, 'C': 138}","{'Bad Output': 24.07, 'A': 23.16, 'B': 19.66, 'D': 17.51, 'C': 15.59}"
